ts,open,high,low,close,volume,amount
2026-06-16 09:30:00,408.709991,408.709991,405.200012,405.899994,2443500,991816635.0861
2026-06-16 09:31:00,405.299988,405.299988,404.0,404.890015,869804,352174954.3013
2026-06-16 09:32:00,405.089996,405.089996,403.799988,404.01001,665000,268666656.4941
2026-06-16 09:33:00,404.399994,404.630005,402.5,402.5,403500,162408750.0
2026-06-16 09:34:00,402.600006,402.600006,400.410004,400.410004,370000,148151701.355
2026-06-16 09:35:00,400.399994,401.0,399.130005,400.51001,678400,271705990.625
2026-06-16 09:36:00,400.130005,401.049988,400.130005,400.859985,351000,140701854.8584
2026-06-16 09:37:00,400.48999,400.630005,399.160004,399.160004,368500,147090461.3495
2026-06-16 09:38:00,399.109985,399.809998,399.070007,399.070007,433800,173116569.1772
2026-06-16 09:39:00,399.0,399.899994,398.5,399.899994,299800,119890018.1702
2026-06-16 09:40:00,399.910004,399.910004,398.950012,399.119995,285800,114068494.6045
2026-06-16 09:41:00,398.950012,400.600006,398.950012,400.600006,258999,103755000.9808
2026-06-16 09:42:00,400.649994,401.359985,400.48999,401.209991,277100,111175288.6322
2026-06-16 09:43:00,401.209991,402.839996,401.209991,402.700012,365240,147082152.4585
2026-06-16 09:44:00,402.700012,403.700012,402.700012,403.450012,273199,110222139.8849
2026-06-16 09:45:00,403.119995,403.98999,402.399994,403.970001,330136,133365040.323
2026-06-16 09:46:00,403.619995,403.619995,402.950012,403.589996,242002,97669586.2938
2026-06-16 09:47:00,403.179993,404.380005,402.640015,403.980011,292746,118263532.2962
2026-06-16 09:48:00,404.0,405.339996,404.0,405.299988,325018,131729791.4325
2026-06-16 09:49:00,405.339996,406.5,405.339996,406.420013,403700,164071759.4208
2026-06-16 09:50:00,406.480011,407.359985,406.420013,406.700012,517480,210459122.3169
2026-06-16 09:51:00,406.690002,407.170013,405.799988,405.799988,368300,149456135.5042
2026-06-16 09:52:00,405.75,405.75,404.920013,405.019989,173500,70270968.0939
2026-06-16 09:53:00,404.910004,405.480011,404.690002,405.480011,179798,72904495.0153
2026-06-16 09:54:00,405.670013,405.670013,404.0,404.119995,205700,83127482.9956
2026-06-16 09:55:00,404.01001,404.01001,403.299988,403.380005,113100,45622278.5522
2026-06-16 09:56:00,403.390015,405.450012,403.299988,405.109985,349600,141626450.8789
2026-06-16 09:57:00,405.019989,405.200012,404.519989,405.079987,68300,27666963.0829
2026-06-16 09:58:00,405.01001,405.01001,403.730011,403.730011,156300,63103000.7172
2026-06-16 09:59:00,403.720001,404.0,403.320007,403.420013,102700,41431235.379
2026-06-16 10:00:00,403.420013,403.850006,403.220001,403.25,169600,68391200.0
2026-06-16 10:01:00,403.369995,403.440002,402.720001,402.980011,91800,36993565.0085
2026-06-16 10:02:00,402.75,403.119995,402.01001,402.049988,148000,59503398.1934
2026-06-16 10:03:00,402.049988,402.130005,401.980011,401.98999,62700,25204772.3877
2026-06-16 10:04:00,401.970001,401.970001,401.220001,401.350006,91500,36723525.5585
2026-06-16 10:05:00,401.410004,402.26001,401.109985,402.26001,97100,39059446.9482
2026-06-16 10:06:00,402.25,402.790009,402.070007,402.640015,103180,41544396.7114
2026-06-16 10:07:00,402.660004,402.880005,402.519989,402.73999,183620,73951117.0068
2026-06-16 10:08:00,402.839996,403.01001,402.5,402.98999,183820,74077620.0049
2026-06-16 10:09:00,402.98999,403.0,402.480011,402.910004,181600,73168456.665
2026-06-16 10:10:00,402.790009,403.0,402.570007,402.809998,127120,51205206.8896
2026-06-16 10:11:00,403.019989,403.329987,402.779999,403.040009,133000,53604321.1365
2026-06-16 10:12:00,403.0,403.399994,402.660004,402.799988,233720,94142413.147
2026-06-16 10:13:00,402.799988,403.98999,402.709991,403.98999,54440,21993215.0684
2026-06-16 10:14:00,403.98999,404.980011,403.869995,404.980011,104055,42140195.0432
2026-06-16 10:15:00,404.980011,405.480011,404.980011,405.440002,167400,67870656.4087
2026-06-16 10:16:00,405.059998,405.390015,404.109985,404.109985,114645,46329189.2706
2026-06-16 10:17:00,404.059998,404.51001,403.899994,404.040009,97100,39232284.8297
2026-06-16 10:18:00,403.980011,404.390015,403.5,403.829987,104200,42079084.6008
2026-06-16 10:19:00,403.799988,404.209991,403.589996,403.640015,101500,40969461.4868
2026-06-16 10:20:00,403.869995,404.5,403.600006,404.5,95200,38508400.0
2026-06-16 10:21:00,404.5,404.76001,404.5,404.690002,49100,19870279.1199
2026-06-16 10:22:00,404.480011,404.609985,404.0,404.149994,68500,27684274.5819
2026-06-16 10:23:00,404.26001,404.570007,404.119995,404.140015,120000,48496801.7578
2026-06-16 10:24:00,404.140015,404.23999,403.679993,403.700012,116700,47111791.4246
