ts,open,high,low,close,volume,amount
2026-06-18 09:30:00,400.39,400.39,400.39,400.39,494000,197792660.0
2026-06-18 09:31:00,399.99,400.98,398.0,400.91,673800,269435088.0
2026-06-18 09:32:00,401.38,404.44,401.38,404.29,1040600,419402304.0
2026-06-18 09:33:00,404.43,406.39,404.43,405.9,997900,404612928.0
2026-06-18 09:34:00,405.97,406.94,405.16,406.05,940600,381871936.0
2026-06-18 09:35:00,405.97,406.56,405.6,406.05,687300,279184272.0
2026-06-18 09:36:00,405.54,407.3,405.25,406.98,907300,368746960.0
2026-06-18 09:37:00,407.1,409.44,407.1,409.14,1286200,525499696.0
2026-06-18 09:38:00,409.24,409.89,408.67,408.67,684700,280345664.0
2026-06-18 09:39:00,408.67,408.67,406.9,407.31,415600,169604858.0
2026-06-18 09:40:00,407.31,407.62,406.9,407.3,415200,169073574.0
2026-06-18 09:41:00,407.33,407.97,406.46,406.46,405200,165103699.0
2026-06-18 09:42:00,406.51,407.0,406.22,406.6,265600,108001656.0
2026-06-18 09:43:00,406.64,406.64,404.5,404.5,287800,116704907.0
2026-06-18 09:44:00,404.5,404.5,402.5,402.6,274400,110773079.0
2026-06-18 09:45:00,402.6,403.49,402.5,403.2,353800,142534652.0
2026-06-18 09:46:00,403.05,403.2,402.1,402.1,265600,106963084.0
2026-06-18 09:47:00,402.32,402.39,402.22,402.35,223200,89802994.0
2026-06-18 09:48:00,402.36,402.36,401.38,401.38,290900,116894018.0
2026-06-18 09:49:00,401.28,401.28,400.61,400.61,271100,108686879.0
2026-06-18 09:50:00,400.62,400.75,400.4,400.4,323500,129598698.0
2026-06-18 09:51:00,400.32,400.43,400.18,400.38,228100,91302113.0
2026-06-18 09:52:00,400.23,400.46,400.23,400.28,156000,62452218.0
2026-06-18 09:53:00,400.06,400.2,400.03,400.1,209000,83615454.0
2026-06-18 09:54:00,400.08,400.15,399.32,400.15,394700,157837322.0
2026-06-18 09:55:00,400.15,400.7,400.1,400.65,174100,69687467.0
2026-06-18 09:56:00,400.49,400.49,399.75,399.75,248500,99429692.0
2026-06-18 09:57:00,399.58,399.58,399.02,399.21,189800,75767840.0
2026-06-18 09:58:00,399.0,399.23,399.0,399.08,232600,92817132.0
2026-06-18 09:59:00,399.05,399.05,398.1,398.11,275900,109980768.0
2026-06-18 10:00:00,398.11,398.12,397.55,397.61,370200,147320174.0
2026-06-18 10:01:00,397.62,397.98,397.62,397.67,184400,73343181.0
2026-06-18 10:02:00,397.64,398.6,397.61,398.6,252500,100457262.0
2026-06-18 10:03:00,398.63,398.63,397.96,397.99,168800,67209122.0
2026-06-18 10:04:00,398.0,398.64,397.82,397.82,242600,96618532.0
2026-06-18 10:05:00,397.79,398.03,397.68,398.03,172500,68617539.0
2026-06-18 10:06:00,398.04,398.18,397.44,397.5,299400,119038319.0
2026-06-18 10:07:00,397.61,397.72,397.51,397.52,169900,67558423.0
2026-06-18 10:08:00,397.55,397.55,397.42,397.49,174900,69522550.0
2026-06-18 10:09:00,397.44,397.51,397.14,397.16,268700,106745796.0
2026-06-18 10:10:00,397.13,397.59,397.08,397.08,203100,80678883.0
2026-06-18 10:11:00,397.08,397.08,396.81,396.85,334600,132827657.0
2026-06-18 10:12:00,396.94,397.49,396.94,397.33,101600,40350254.0
2026-06-18 10:13:00,397.33,397.33,396.9,396.91,88600,35177279.0
2026-06-18 10:14:00,396.91,398.0,396.91,398.0,107400,42687796.0
2026-06-18 10:15:00,398.02,398.15,397.99,397.99,104600,41638778.0
2026-06-18 10:16:00,397.81,397.81,397.01,397.02,107900,42867464.0
2026-06-18 10:17:00,397.12,397.19,396.96,396.96,108500,43082710.0
2026-06-18 10:18:00,396.92,396.94,396.83,396.86,169700,67344093.0
2026-06-18 10:19:00,396.86,397.14,396.8,397.14,97400,38644718.0
2026-06-18 10:20:00,397.02,397.02,396.83,396.85,147200,58420037.0
2026-06-18 10:21:00,396.85,397.11,396.8,396.8,120400,47783553.0
2026-06-18 10:22:00,396.81,396.81,396.61,396.61,126900,50351349.0
2026-06-18 10:23:00,396.61,396.97,396.58,396.8,94200,37368036.0
2026-06-18 10:24:00,396.8,396.8,396.66,396.66,73000,28958694.0
2026-06-18 10:25:00,396.66,396.69,396.61,396.66,70800,28083434.0
2026-06-18 10:26:00,396.76,397.5,396.76,397.27,150400,59705153.0
2026-06-18 10:27:00,397.27,397.27,396.81,397.09,79500,31561997.0
2026-06-18 10:28:00,397.05,397.05,396.8,396.9,79100,31390349.0
2026-06-18 10:29:00,396.87,396.87,396.64,396.7,100400,39837475.0
2026-06-18 10:30:00,396.68,396.68,396.5,396.57,121900,48342806.0
