ts,open,high,low,close,volume,amount
2026-06-18 09:30:00,10.74,10.74,10.74,10.74,560600,6020532.0
2026-06-18 09:31:00,10.74,10.77,10.72,10.72,1850200,19875225.0
2026-06-18 09:32:00,10.72,10.75,10.72,10.75,1042600,11195102.0
2026-06-18 09:33:00,10.74,10.75,10.73,10.74,692100,7432151.0
2026-06-18 09:34:00,10.74,10.74,10.73,10.73,725600,7785289.0
2026-06-18 09:35:00,10.73,10.73,10.71,10.72,981600,10524190.0
2026-06-18 09:36:00,10.73,10.73,10.69,10.69,2800600,29982317.0
2026-06-18 09:37:00,10.69,10.7,10.67,10.68,1907200,20381263.0
2026-06-18 09:38:00,10.67,10.69,10.67,10.68,1161400,12398146.0
2026-06-18 09:39:00,10.69,10.71,10.68,10.7,1828000,19568839.0
2026-06-18 09:40:00,10.7,10.72,10.7,10.71,478100,5119552.0
2026-06-18 09:41:00,10.72,10.72,10.7,10.7,353400,3783896.0
2026-06-18 09:42:00,10.71,10.71,10.7,10.71,184800,1978161.0
2026-06-18 09:43:00,10.71,10.71,10.7,10.7,628300,6724381.0
2026-06-18 09:44:00,10.71,10.71,10.7,10.7,366600,3922596.0
2026-06-18 09:45:00,10.7,10.7,10.69,10.7,500200,5348801.0
2026-06-18 09:46:00,10.7,10.72,10.7,10.7,1368700,14649529.0
2026-06-18 09:47:00,10.71,10.71,10.7,10.71,205300,2197929.0
2026-06-18 09:48:00,10.7,10.71,10.69,10.69,631300,6755020.0
2026-06-18 09:49:00,10.7,10.7,10.67,10.68,1308100,13978775.0
2026-06-18 09:50:00,10.68,10.68,10.67,10.68,736900,7865714.0
2026-06-18 09:51:00,10.67,10.68,10.65,10.65,3178200,33887891.0
2026-06-18 09:52:00,10.65,10.66,10.65,10.66,1190400,12686364.0
2026-06-18 09:53:00,10.65,10.66,10.63,10.63,1989400,21183342.0
2026-06-18 09:54:00,10.64,10.65,10.63,10.65,712700,7581192.0
2026-06-18 09:55:00,10.65,10.65,10.64,10.65,483800,5149896.0
2026-06-18 09:56:00,10.64,10.65,10.64,10.64,264200,2812162.0
2026-06-18 09:57:00,10.65,10.65,10.64,10.65,520300,5537777.0
2026-06-18 09:58:00,10.65,10.65,10.64,10.64,282300,3005279.0
2026-06-18 09:59:00,10.65,10.65,10.63,10.63,898700,9564409.0
2026-06-18 10:00:00,10.63,10.64,10.63,10.64,526800,5601773.0
2026-06-18 10:01:00,10.64,10.65,10.63,10.64,1222900,13006842.0
2026-06-18 10:02:00,10.64,10.64,10.62,10.64,1554500,16524365.0
2026-06-18 10:03:00,10.63,10.64,10.63,10.63,215100,2286839.0
2026-06-18 10:04:00,10.63,10.64,10.63,10.63,1003700,10670149.0
2026-06-18 10:05:00,10.63,10.63,10.62,10.63,343900,3655175.0
2026-06-18 10:06:00,10.62,10.63,10.62,10.63,438500,4659220.0
2026-06-18 10:07:00,10.62,10.64,10.62,10.64,491400,5222844.0
2026-06-18 10:08:00,10.64,10.64,10.63,10.63,446400,4745057.0
2026-06-18 10:09:00,10.63,10.63,10.62,10.63,406200,4317704.0
2026-06-18 10:10:00,10.63,10.63,10.62,10.62,271800,2888935.0
2026-06-18 10:11:00,10.63,10.64,10.62,10.64,656700,6980714.0
2026-06-18 10:12:00,10.63,10.66,10.63,10.65,1688000,17972761.0
2026-06-18 10:13:00,10.64,10.65,10.64,10.64,329800,3509420.0
2026-06-18 10:14:00,10.64,10.65,10.63,10.65,226700,2412668.0
2026-06-18 10:15:00,10.64,10.65,10.63,10.63,326100,3469662.0
2026-06-18 10:16:00,10.63,10.64,10.62,10.63,1100100,11694023.0
2026-06-18 10:17:00,10.63,10.63,10.62,10.63,1179700,12529713.0
2026-06-18 10:18:00,10.63,10.63,10.62,10.63,242500,2576945.0
2026-06-18 10:19:00,10.63,10.63,10.62,10.63,341100,3624582.0
2026-06-18 10:20:00,10.63,10.63,10.62,10.63,150900,1603474.0
2026-06-18 10:21:00,10.62,10.63,10.62,10.62,428000,4546301.0
2026-06-18 10:22:00,10.62,10.63,10.62,10.63,444100,4717633.0
2026-06-18 10:23:00,10.63,10.63,10.61,10.61,1419500,15072367.0
2026-06-18 10:24:00,10.61,10.62,10.61,10.62,388000,4117756.0
2026-06-18 10:25:00,10.62,10.62,10.6,10.61,1718900,18237771.0
2026-06-18 10:26:00,10.6,10.61,10.58,10.59,5035600,53362772.0
2026-06-18 10:27:00,10.6,10.6,10.59,10.59,253900,2689580.0
2026-06-18 10:28:00,10.59,10.6,10.59,10.6,595800,6313864.0
2026-06-18 10:29:00,10.6,10.6,10.59,10.59,460900,4881887.0
2026-06-18 10:30:00,10.6,10.6,10.59,10.59,699200,7405464.0
2026-06-18 10:31:00,10.59,10.59,10.57,10.58,1743000,18441295.0
2026-06-18 10:32:00,10.57,10.58,10.57,10.58,701800,7423541.0
